TITLE,accented lemma,SEARCH LEMMA,DISPLAY LEMMA,English Definition,Decl,Idiom,Reg Adject/Adv/Form,Proper,Part Of Speech,DCC SEMANTIC GROUP,DCC Core Frequency,Herodotus 1 frequency rank,DCC Greek Core,Herodotus Book 1 Core (412 words > 10 times),Homer Core (Frequency Categories 1-4),National Collegiate Greek Exam Core,Fundamental 400 (BiCo Elementary Core),Fine 555 (BiCo Third Semester Core),Splendid 655 (BiCo Fourth Semester Core),Alpha to Omega (Groton),Greek: an Intensive Course (Hansen-Quinn),Introduction to Ancient Greek (Luschnig),Introduction to Attic Greek (Mastronarde 2013),Learn to Read Greek (Keller-Russell)
ΑΛΥΑΤΤΗΣ/N,Ἀλυάττης/N,Αλυαττης/N,Ἀλυάττης ὁ,Alyattes,1,,,1,Noun,,,172,,1,,,,,,,,,,
,Ἅλυς,Αλυς,Ἅλυς Ἅλους ὁ,Halys River,3,,,1,Noun,,,,,,,,,,,,,,,
,ἅμα-ἕῳ,αμα-εῳ,ἅμα ἕῳ,at dawn,,1,,,Idiom,,,,,,,,,,,,,,,
ΑΜΑΘΗΣ,ἀμαθής,Αμαθης,ἀμαθής –ές,ignorant; stupid,3,,,,Adjective,,,,,,,,,,,,14,,,
ΑΜΑΘΙΑ,ἀμαθία,Αμαθια,ἀμαθία –ας ἡ,"ignorance, stupidity",1,,,,Noun,,,,,,,,,,,,14,,,
ΑΜΑΞΑ,ἅμαξα,Αμαξα,ἅμαξα –ης ἡ,"wagon, cart",1,,,,Noun,,,,,,,,,,,11,,,,
ΑΜΑΡΤΗΜΑ,ἁμάρτημα,Αμαρτημα,ἁμάρτημα –ατος τό,"failure, fault, bodily defect",3,,,,Noun,,,,,,,,,,,,,,,
ΑΜΑΡΤΙΑ,ἁμαρτία,Αμαρτια,ἁμαρτία –ας ἡ,"error, failure, sin",1,,,,Noun,,,,,,,,,,,28,17,,,
ΑΜΕΙΒΩ,ἀμείβω,Αμειβω,ἀμείβω ἀμείψω ἤμειψα ἤμειφα ἤμειμμαι ἠμείφθην,answer,,,,,Verb,Communication,,166,,1,2,,,1,1,,,,,
ΑΜΕΛΕΩ,ἀμελέω,Αμελεω,ἀμελέω ––– ἠμέλησα ––– ––– ––– ,not worry,,,,,Verb,,,,,,,,,,,,,,,
ΑΜΠΕΛΟΣ ,ἄμπελος ,αμπελος ,ἄμπελος –ου ἡ,grapevine,1,,,,Noun,,,,,,,,,,,,,,,
ΑΜΥΝΩ,ἀμύνω,Αμυνω,ἀμύνω ἀμυνῶ ἤμυνα ἤμυκα ἤμυμαι ἠμύνηθην,defend,,,,,Verb,War and Peace,,,,,3,,,,,,,,,
ΑΜΥΝΩΝ,ἀμύμων,,ἀμύμων -ονος,"blameless, excellent",3,,,,Adjective,,,,,,3,,,,,,,,,
ΑΜΦΙΠΟΛΟΣ,ἀμφίπολος,,ἀμφίπολος -ον,"busied about, busy; priest (male); female attendant, handmaid",2,,,,Noun,,,,,,4,,,,,,,,,
ΑΜΦΙΣΒΗΤΕΩ,ἀμφισβητέω,Αμφισβητεω,ἀμφισβητέω ἀμφισβήσω ἠμφεσβήτησα ἠμφεσβήτηκα ἠμφεσβήτημαι ἠμφισβητήθην,argue,,,,,Verb,Communication,,,,,,,,,,,,,,
ΑΜΦΟΤΕΡΩΘΕΝ,ἀμφοτέρωθεν,αμφοτερωθεν,ἀμφοτέρωθεν,from both sides,,,,,Adverb,,,,,,,,,,,,,,36,
ΑΜΦΟΤΕΡΩΘΙ,ἀμφοτέρωθι,αμφοτερωθι,ἀμφοτέρωθι,on both sides,,,,,Adverb,,,,,,,,,,,,,,36,
ΑΜΦΟΤΕΡΩΣΕ,ἀμφοτέρωσε,αμφοτερωσε,ἀμφοτέρωσε,in both directions,,,,,Adverb,,,,,,,,,,,,,,36,
ΑΜΦΩ,ἄμφω,αμφω,ἄμφω,both (dual),,,,,Pronoun,,,,,,4,,,,,,,,,
,ἀνὰ-πᾶσαν-ἡμέραν,ανα-πασαν-ημεραν,ἀνὰ-πᾶσαν-ἡμέραν,"day by day, daily",,1,,,Idiom,,,,,,,,,,,23,,,,
ΑΝΑΒΑΙΝΩ,ἀναβαίνω,Αναβαινω,ἀναβαίνω ἀναβήσομαι ἀνέβην ἀναβέβηκα ––– –––,"board, go up",,,,,Verb,Locomotion,,374,,1,,,,,,,16,,24,
ΑΝΑΓΙΓΝΩΣΚΩ,ἀναγιγνώσκω,Αναγιγνωσκω,ἀναγιγνώσκω ἀναγνώσομαι ἀνέγνων ἀνέγνωκα ἀνέγνωσμαι ἀνεγνώσθην,"know well, read, perceive",,,,,Verb,Education,,,,,,,,,,49,,,24,
